acc_x,acc_z,resp,pzt,eda,emg
511,614,211,311,5,32
510,615,214,307,5,36
511,614,212,309,5,30
511,614,213,312,5,36
511,615,214,315,5,29
511,614,213,320,5,35
510,614,212,325,5,30
510,615,210,331,5,35
511,614,208,336,5,30
510,614,208,340,5,35
511,614,206,342,5,30
510,614,207,343,5,36
511,614,208,342,5,30
511,614,208,343,5,36
511,614,209,345,5,30
511,615,210,352,5,36
511,614,214,364,5,30
511,614,216,387,5,36
511,614,218,423,5,30
511,613,219,472,5,36
511,614,222,530,5,30
511,614,223,598,4,37
510,614,225,671,4,30
511,615,225,747,5,36
511,614,227,819,5,30
511,615,228,883,4,37
510,614,228,938,5,30
511,615,229,972,4,36
512,614,231,972,4,31
511,615,233,972,4,36
511,614,235,972,4,29
510,614,238,972,4,36
511,614,240,972,4,28
511,614,243,972,4,36
510,614,246,967,4,30
510,614,248,927,4,36
512,614,249,886,5,31
510,614,249,846,4,35
511,614,248,802,4,30
511,614,248,759,4,36
511,614,247,716,4,29
511,614,246,673,4,36
511,614,244,631,4,29
511,614,241,590,5,36
511,614,241,551,5,30
510,615,238,514,5,36
511,614,237,481,5,30
511,614,235,453,5,36
512,614,234,432,5,30
511,614,231,417,5,36
511,614,230,409,5,29
510,614,227,405,5,36
511,614,228,405,5,29
511,615,226,409,5,36
511,614,226,416,5,30
510,614,224,419,5,35
511,614,224,425,5,30
511,614,222,430,4,36
510,615,222,433,5,30
511,614,221,433,5,36
510,614,222,433,5,30
510,615,221,431,5,36
510,614,220,427,5,31
512,615,220,420,5,36
511,614,219,412,5,30
510,614,219,404,5,35
511,614,218,394,5,29
510,614,217,383,5,36
511,614,217,368,5,30
510,615,217,356,5,36
511,614,217,343,5,30
510,614,215,331,5,36
512,614,216,320,5,31
511,614,216,313,5,36
511,614,214,308,5,30
510,615,215,306,5,36
512,614,215,307,5,29
510,614,215,311,5,36
510,614,213,316,5,30
511,614,215,324,5,36
511,614,214,334,5,30
511,614,213,341,5,37
510,614,214,349,5,29
511,614,213,353,5,36
512,614,214,355,5,30
510,615,213,354,5,36
510,614,214,350,5,30
510,614,214,343,5,35
511,614,215,335,5,29
510,614,213,328,5,37
511,615,213,321,5,30
510,614,215,321,5,35
512,614,214,330,5,30
510,614,215,352,5,35
510,614,214,388,5,31
511,615,215,437,5,35
512,614,215,499,5,31
510,614,216,572,5,36
511,614,215,650,5,30
511,614,215,731,4,37
511,613,218,810,4,28
511,614,221,884,5,42
511,614,223,949,5,32
511,614,226,972,4,34
510,614,229,972,4,32
511,615,230,972,4,36
511,614,230,972,5,30
511,614,229,972,4,48
511,614,228,972,5,29
511,614,228,972,4,44
510,614,225,972,4,24
511,613,225,972,5,31
512,614,224,972,5,28
511,614,224,972,4,36
511,613,225,972,5,26
511,614,226,972,4,35
511,614,227,944,5,33
511,614,229,887,4,41
511,614,230,827,5,28
510,615,232,767,4,35
511,614,236,711,5,30
511,614,237,660,4,40
511,614,238,618,5,37
511,614,241,583,5,36
512,614,241,553,5,30
511,614,243,532,5,35
511,614,243,517,5,28
511,614,244,508,5,41
511,614,246,503,5,27
511,614,246,502,5,37
510,614,247,502,5,33
511,615,249,503,5,31
512,614,251,504,5,26
511,614,253,504,5,37
511,615,257,502,5,36
511,614,258,496,5,39
512,614,261,487,5,31
511,614,263,479,5,37
510,615,264,469,5,35
510,614,265,457,5,32
511,614,265,445,5,32
511,614,267,433,5,37
510,614,265,419,5,22
510,614,264,405,5,47
511,614,263,392,5,40
510,615,263,379,5,38
511,614,263,365,5,31
511,615,262,350,5,38
510,614,261,335,5,28
511,614,261,320,5,37
510,614,259,305,5,32
510,615,259,291,5,32
511,614,259,278,5,29
511,614,258,266,5,35
510,614,260,256,5,31
511,614,260,249,5,36
511,614,260,243,5,28
510,614,259,237,5,35
511,614,260,235,5,30
511,615,259,235,5,36
511,614,262,236,5,30
510,614,261,237,5,35
510,614,262,239,5,28
510,614,262,242,5,38
511,615,263,245,5,26
510,614,262,246,5,36
510,614,263,248,5,29
510,615,263,248,5,36
511,614,264,249,5,29
511,615,264,251,5,36
510,614,263,259,5,30
511,614,264,275,5,37
511,614,265,301,5,29
511,614,263,339,5,37
510,615,266,390,5,29
510,615,265,452,5,37
511,614,264,522,5,30
510,615,266,593,4,36
510,614,265,665,5,30
510,615,265,729,5,37
512,614,266,784,4,29
511,615,267,828,4,36
511,614,267,858,5,29
511,614,267,874,4,34
511,613,267,878,4,30
511,614,267,871,4,36
510,614,268,851,4,29
510,614,268,825,4,37
511,614,268,794,4,28
510,615,268,759,4,38
511,614,268,722,5,31
511,614,265,686,5,38
511,615,263,650,5,43
510,614,264,617,5,39
510,614,264,586,4,31
510,614,267,556,5,35
511,614,270,527,5,29
511,614,276,501,5,36
510,615,277,476,5,29
511,614,278,452,5,37
511,614,278,431,5,24
511,614,278,412,5,40
510,614,276,395,5,30
510,614,273,382,5,40
511,615,271,372,5,30
510,614,269,366,5,37
511,614,269,363,5,26
510,614,269,363,5,36
512,614,269,366,5,27
510,614,270,370,5,24
511,615,271,376,5,20
511,614,273,382,5,29
511,615,275,385,5,24
511,614,277,387,5,37
510,614,279,387,5,34
511,615,283,385,5,39
511,614,283,381,5,33
511,614,285,375,5,42
510,614,287,368,5,27
511,614,288,359,5,28
511,614,289,351,5,27
511,614,292,340,5,43
511,614,293,330,5,23
511,614,297,319,5,35
511,614,298,309,5,27
511,615,302,299,5,49
511,614,306,289,5,35
511,614,307,283,5,36
511,614,310,277,5,38
510,614,313,272,5,44
510,614,316,268,5,25
510,614,316,264,5,41
511,614,318,260,5,30
510,614,319,258,5,33
511,614,321,257,5,27
511,613,322,256,5,41
511,614,325,257,5,29
510,614,326,258,5,51
510,615,329,259,5,17
511,614,332,259,5,26
512,614,335,260,5,61
511,614,337,259,5,28
511,615,340,257,5,25
510,614,344,257,5,34
511,614,346,259,5,20
511,614,347,263,5,36
511,613,345,270,5,25
511,614,345,283,5,35
511,614,345,304,5,24
511,615,347,333,5,35
511,614,346,371,5,27
510,614,347,416,5,37
512,614,347,468,5,31
511,615,347,523,5,34
510,614,348,577,4,26
511,614,348,628,4,63
511,614,351,673,5,25
510,614,352,710,5,36
511,614,352,737,4,29
511,614,353,755,5,36
511,614,355,761,4,29
510,614,356,758,5,36
510,614,358,746,4,33
511,614,359,727,5,36
511,614,359,704,4,29
511,614,361,678,5,36
511,614,362,652,4,30
510,614,364,624,4,37
512,614,365,598,5,30
510,614,368,572,4,36
510,614,372,547,5,30
511,614,379,525,4,36
511,614,386,504,5,28
511,615,396,483,5,35
511,614,408,462,5,29
511,615,419,446,5,37
511,614,432,430,5,29
511,615,448,415,5,38
511,614,467,401,5,30
510,614,487,389,5,37
510,614,508,380,5,29
511,614,528,376,5,37
511,614,549,375,5,29
512,614,569,376,5,37
512,614,588,377,5,30
510,614,604,380,5,38
510,614,620,384,5,29
510,614,634,389,5,37
512,614,646,394,5,30
510,614,657,399,5,36
511,614,665,401,5,29
510,614,671,403,5,36
512,613,675,401,5,30
511,614,678,400,5,36
510,614,678,396,5,29
511,614,677,390,5,36
511,613,674,381,5,29
510,614,670,372,5,37
510,614,664,362,5,28
511,614,657,352,5,36
511,614,649,343,5,29
511,614,640,335,5,39
510,614,631,327,5,31
511,614,620,321,5,35
511,615,609,318,5,32
510,614,599,315,5,35
510,614,588,314,5,34
511,614,579,313,5,36
511,614,571,314,5,32
511,614,563,313,5,36
510,614,557,314,5,27
511,614,552,314,5,36
512,614,548,314,5,25
511,614,544,313,5,31
511,615,541,311,5,29
510,614,539,309,5,37
511,613,536,308,5,28
511,615,534,310,5,37
510,614,531,309,5,31
510,614,527,307,5,32
511,614,524,307,5,30
511,614,520,304,5,38
510,614,516,303,5,28
510,614,512,300,5,35
511,615,508,300,5,36
511,614,505,300,5,27
511,614,500,300,5,35
511,615,497,301,5,34
511,614,494,301,5,29
510,615,492,303,5,33
510,614,489,306,5,34
510,614,487,309,5,25
511,615,486,314,5,30
510,614,485,323,5,33
510,614,485,335,5,33
510,614,487,353,5,35
512,614,488,378,5,22
511,615,490,411,5,34
510,614,492,447,5,29
511,614,493,486,5,24
511,613,493,527,5,27
510,615,492,568,5,34
510,614,492,603,5,35
510,614,491,633,5,39
510,614,489,659,5,33
511,614,487,677,5,35
510,614,483,689,5,30
511,615,481,694,5,33
512,614,479,691,5,30
511,614,477,680,5,38
511,614,475,665,4,29
511,615,473,647,5,33
511,614,470,628,5,33
511,614,467,607,5,34
510,614,463,585,4,29
511,614,458,566,5,35
512,614,454,546,4,30
510,614,449,531,5,38
510,614,443,516,4,28
511,615,438,504,5,25
511,614,432,489,5,28
511,614,427,476,5,35
510,614,422,463,5,30
511,614,416,451,5,35
512,615,409,440,5,30
511,614,403,431,5,44
511,614,398,423,5,27
510,615,391,416,5,35
512,614,386,414,5,32
511,614,381,414,5,34
511,614,377,416,5,31
511,615,374,417,5,35
511,614,371,419,5,30
510,614,369,420,5,37
510,614,368,420,5,30
511,614,365,418,5,34
511,614,362,417,5,29
511,614,357,417,5,44
510,614,353,416,5,29
510,614,349,415,5,35
511,614,344,414,5,31
511,615,338,411,5,35
511,614,332,409,5,30
511,614,324,404,5,36
511,614,317,399,5,30
510,614,311,393,5,35
511,614,304,388,5,30
510,614,297,384,5,37
511,614,289,377,5,30
511,615,282,371,5,35
511,614,275,366,5,30
511,615,269,363,5,36
512,614,264,362,5,29
511,613,262,358,5,37
510,614,260,356,5,29
511,614,258,357,5,36
511,614,257,357,5,29
510,614,255,358,5,36
511,613,252,358,5,28
511,614,250,360,5,36
512,614,249,361,5,29
511,614,246,361,5,35
510,615,243,360,4,29
511,614,242,359,5,36
511,614,240,358,4,30
510,614,237,356,5,36
511,614,237,355,4,30
511,614,235,352,4,36
511,614,232,350,4,30
510,614,230,348,5,35
510,614,228,348,4,28
510,614,227,348,4,34
511,615,227,350,4,31
511,615,228,352,5,36
511,615,228,353,4,33
510,614,227,353,5,31
512,614,225,354,4,29
510,615,224,356,5,35
510,614,223,359,4,27
511,615,222,360,5,44
512,614,220,361,4,28
511,614,218,361,5,36
511,614,217,361,4,28
511,614,215,361,5,29
511,614,212,360,4,27
510,614,212,360,5,39
511,614,213,359,4,30
510,614,217,358,5,34
511,615,223,359,4,35
511,614,229,360,5,44
511,614,236,360,4,31
511,615,242,360,5,31
510,614,247,360,4,41
511,614,251,361,5,34
511,614,256,362,4,27
511,614,262,365,5,32
511,615,268,372,4,23
511,615,275,383,4,36
510,614,282,399,4,24
510,615,291,419,5,41
511,614,304,443,4,33
511,615,315,468,4,31
510,614,324,494,4,27
511,614,334,519,5,28
511,614,344,544,4,42
511,614,352,565,4,43
511,614,359,582,4,31
510,615,367,592,4,36
511,614,373,599,4,31
511,614,380,599,4,30
511,614,385,595,4,32
511,614,392,588,4,38
511,614,396,579,4,27
511,614,401,567,4,34
511,614,406,556,4,28
512,614,408,542,4,35
511,614,409,528,4,33
511,614,410,514,5,34
510,614,410,504,4,32
511,615,409,492,4,33
511,614,407,481,4,31
511,615,405,471,5,35
510,614,400,462,4,36
511,615,395,455,5,36
512,614,389,449,4,32
511,614,382,444,5,35
511,615,377,440,4,30
511,614,371,435,5,35
511,614,366,432,4,30
510,615,360,428,4,34
510,614,355,424,4,30
510,614,351,423,4,34
511,614,348,425,4,29
511,614,345,427,4,36
510,615,342,429,4,30
510,614,339,431,4,41
511,614,336,434,4,30
511,614,334,438,4,34
511,614,331,440,4,31
511,614,329,443,4,35
512,613,329,442,4,30
511,615,328,443,5,35
510,614,329,442,4,30
510,614,329,438,5,35
511,614,329,435,4,30
511,614,330,431,5,37
511,614,332,426,4,29
511,614,333,420,5,35
512,614,336,415,5,31
511,614,337,410,5,35
511,614,337,406,5,31
511,614,336,401,5,35
