index,acc_x,acc_z,resp,pzt,eda,emg
1,607,544,478,460,24,33
2,608,545,476,463,24,33
3,608,544,475,473,24,33
4,607,543,473,476,24,33
5,608,544,472,485,24,33
6,608,545,470,486,24,33
7,608,544,469,493,24,33
8,606,543,467,493,24,33
9,607,544,465,495,24,33
10,608,544,463,487,24,33
11,608,545,461,487,24,33
12,606,544,459,483,24,33
13,608,544,457,487,24,33
14,608,545,455,485,24,33
15,608,545,453,489,24,33
16,606,544,452,486,24,33
17,607,544,450,491,24,33
18,608,545,449,487,24,33
19,608,544,447,491,24,33
20,608,544,446,487,24,33
21,607,544,445,490,24,33
22,608,545,444,486,24,33
23,608,544,443,491,24,33
24,606,543,443,487,24,33
25,607,543,442,495,24,33
26,607,545,441,496,24,33
27,608,545,440,507,24,33
28,606,544,441,511,24,33
29,607,544,440,524,24,33
30,608,545,440,529,24,33
31,608,546,439,542,24,33
32,607,545,439,548,24,33
33,607,543,439,560,24,33
34,608,544,439,563,24,33
35,608,545,439,575,24,33
36,607,543,439,578,24,33
37,607,543,438,588,24,33
38,608,544,438,593,24,33
39,608,545,439,606,24,33
40,606,543,438,611,24,33
41,606,544,438,623,24,33
42,607,545,438,626,24,33
43,608,545,438,636,24,33
44,608,544,438,637,24,33
45,607,543,438,641,24,33
46,607,543,438,635,24,33
47,609,545,438,635,24,33
48,606,544,438,625,24,32
49,606,544,439,620,24,33
50,608,544,439,606,24,32
51,608,545,439,598,24,33
52,607,544,440,583,24,33
53,607,543,440,575,24,33
54,608,545,440,560,24,33
55,609,544,441,553,24,33
56,607,543,441,537,24,33
57,606,543,441,533,24,33
58,607,546,442,523,24,33
59,609,546,443,525,24,33
60,607,544,443,525,24,33
61,607,543,442,535,24,33
62,608,544,442,536,24,33
63,608,545,441,545,24,33
64,607,545,440,547,24,33
65,606,543,439,556,24,33
66,608,544,438,555,24,33
67,609,545,438,562,24,33
68,608,545,439,563,24,33
69,607,543,439,568,24,33
70,607,545,439,564,24,33
71,608,545,440,567,24,33
72,607,543,441,563,24,33
73,606,543,442,567,24,33
74,607,545,444,563,24,33
75,609,545,445,568,24,33
76,607,545,447,566,24,33
77,607,544,449,572,24,33
78,608,544,453,570,24,33
79,609,545,455,575,24,33
80,607,543,460,571,24,33
81,607,543,465,574,24,33
82,607,544,470,569,24,33
83,608,545,476,570,24,33
84,607,544,480,566,24,33
85,606,544,486,571,24,33
86,607,544,491,567,24,33
87,608,544,496,573,24,33
88,608,545,500,585,24,32
89,607,544,504,649,24,33
90,608,544,508,764,24,33
91,608,544,511,934,24,33
92,607,544,514,970,24,32
93,607,544,516,970,24,33
94,607,544,518,970,24,33
95,608,545,519,970,24,33
96,608,545,520,970,24,33
97,607,544,521,970,24,33
98,607,543,521,970,24,33
99,608,545,522,970,24,33
100,607,545,523,970,24,33
101,607,543,524,844,24,33
102,607,543,526,595,24,33
103,608,545,526,397,24,33
104,606,545,527,253,24,33
105,607,544,528,174,24,33
106,607,544,529,142,24,33
107,608,544,529,181,24,33
108,608,545,530,272,24,33
109,606,545,529,423,24,33
110,606,544,529,598,24,33
111,608,544,529,792,24,33
112,608,545,528,966,24,33
113,607,544,527,970,24,33
114,607,544,525,971,24,33
115,608,544,523,970,24,33
116,608,545,521,971,24,32
117,607,544,519,970,24,33
118,606,544,516,971,24,33
119,608,543,514,970,24,33
120,608,545,511,971,24,33
121,607,545,510,971,24,33
122,607,544,507,971,24,33
123,608,544,504,971,24,33
124,608,544,502,971,24,33
125,608,544,499,971,24,33
126,607,544,495,971,24,33
127,608,543,492,971,24,33
128,608,545,488,971,24,33
129,607,546,485,971,24,33
130,607,543,481,971,24,33
131,608,544,477,971,24,33
132,608,544,473,971,24,33
133,608,545,469,971,24,33
134,608,544,464,971,24,33
135,607,543,461,971,24,33
136,608,544,457,971,24,33
137,608,545,453,971,24,33
138,607,544,449,971,24,33
139,607,544,446,971,24,33
140,608,544,442,971,24,33
141,608,545,438,971,24,33
142,607,545,435,971,24,33
143,607,543,431,970,24,33
144,607,544,428,971,24,33
145,608,545,425,971,24,33
146,608,544,423,963,24,33
147,607,543,420,828,24,33
148,607,544,417,697,24,33
149,608,545,415,591,24,33
150,608,544,412,500,24,33
151,607,543,409,437,24,33
152,607,543,407,386,24,33
153,608,546,406,361,24,33
154,607,545,403,344,24,33
155,608,543,401,347,24,33
156,607,544,399,355,24,33
157,608,545,396,380,24,33
158,607,544,395,407,24,33
159,608,543,393,447,24,33
160,607,543,391,482,24,33
161,608,545,389,525,24,33
162,607,545,387,558,24,33
163,607,543,386,594,24,33
164,607,544,384,620,24,33
165,608,545,383,648,24,33
166,608,544,380,660,24,33
167,608,543,379,673,24,33
168,607,543,376,670,24,33
169,608,545,375,668,24,33
170,607,544,372,654,24,33
171,607,543,371,645,24,33
172,607,544,370,628,24,33
173,608,544,368,624,24,33
174,608,544,368,617,24,33
175,608,543,367,623,24,33
176,607,544,367,627,24,33
177,608,545,366,641,24,33
178,608,544,366,644,24,33
