index,pzt
1,681
2,641
3,604
4,571
5,542
6,515
7,494
8,476
9,461
10,452
11,448
12,446
13,449
14,457
15,468
16,483
17,496
18,511
19,525
20,537
21,545
22,551
23,556
24,557
25,555
26,548
27,540
28,531
29,520
30,507
31,496
32,487
33,478
34,469
35,463
36,455
37,450
38,448
39,446
40,448
41,451
42,453
43,454
44,454
45,454
46,454
47,453
48,452
49,451
50,450
51,450
52,451
53,453
54,462
55,478
56,503
57,537
58,579
59,628
60,681
61,733
62,782
63,824
64,855
65,873
66,879
67,872
68,851
69,822
70,785
71,745
72,701
73,658
74,614
75,574
76,535
77,501
78,471
79,449
80,432
81,419
82,411
83,408
84,409
85,416
86,425
87,435
88,451
89,467
90,484
91,500
92,513
93,525
94,532
95,536
96,538
97,537
98,532
99,526
100,517
101,508
102,498
103,489
104,480
105,472
106,463
107,455
108,449
109,443
110,437
111,434
112,433
113,431
114,428
115,427
116,428
117,430
118,433
119,436
120,438
121,440
122,440
123,442
124,443
125,444
126,446
127,447
128,453
129,464
130,482
131,510
132,548
133,593
134,644
135,698
136,751
137,799
138,840
139,870
140,884
141,885
142,872
143,847
144,816
145,779
146,736
147,690
148,643
149,598
150,558
151,521
152,486
153,458
154,433
155,415
156,401
157,393
158,391
159,394
160,400
161,413
162,428
163,445
164,464
165,484
166,501
167,515
168,525
169,531
170,535
171,534
172,530
173,525
174,517
175,508
176,498
177,486
178,475
179,463
180,453
181,446
182,437
183,431
184,424
185,419
186,416
187,414
188,412
189,415
190,418
191,423
192,427
193,431
194,432
195,433
196,435
197,435
198,435
199,437
200,438
201,439
202,438
203,437
204,436
205,436
206,436
207,435
208,436
209,443
210,457
211,481
212,516
213,560
214,614
215,675
216,739
217,799
218,854
219,898
220,928
221,943
222,940
223,926
224,898
225,861
226,816
227,764
228,711
229,660
230,611
231,568
232,527
233,492
234,464
235,440
236,422
237,411
238,404
239,402
240,405
241,411
242,419
243,430
244,444
245,459
246,474
247,489
248,502
249,511
250,518
251,523
252,524
253,524
254,519
255,512
256,504
257,494
258,484
259,473
260,463
261,453
262,445
263,438
264,431
265,427
266,423
267,418
268,413
269,410
270,406
271,407
272,411
273,413
274,417
275,419
276,423
277,427
278,430
279,431
280,433
281,432
282,433
283,433
284,435
285,435
286,435
287,435
288,433
289,435
290,434
291,434
292,434
293,433
294,433
295,432
296,432
297,436
298,445
299,462
300,489
301,527
302,578
303,637
304,704
305,771
306,834
307,888
308,932
309,959
310,968
311,967
312,946
313,913
314,869
315,818
316,761
317,704
318,647
319,594
320,544
321,502
322,465
323,437
324,414
325,398
326,387
327,382
328,380
329,383
330,391
331,403
332,419
333,437
334,455
335,473
336,488
337,500
338,512
339,520
340,526
341,526
342,522
343,516
344,511
345,504
346,494
347,484
348,472
349,460
350,446
351,432
352,422
353,413
354,406
355,402
356,402
357,401
358,402
359,403
360,405
361,408
362,411
363,415
364,417
365,417
366,419
367,421
368,423
369,424
370,426
371,425
372,427
373,426
374,424
375,424
376,424
377,425
378,423
379,422
380,422
381,421
382,423
383,424
384,426
385,428
386,431
387,432
388,437
389,442
390,454
391,472
392,500
393,540
394,589
395,647
396,709
397,772
398,830
